NumberofTests,OutlierMagnitude,Bias,RMSE,Method,OutlierPosition
10,Outlier=200,0.166,0.06,Theil-Sen,At the end
11,Outlier=0,0.001,0.021,Theil-Sen,At the end
11,Outlier=50,0.129,0.041,Theil-Sen,At the end
11,Outlier=100,0.143,0.047,Theil-Sen,At the end
11,Outlier=150,0.143,0.047,Theil-Sen,At the end
11,Outlier=200,0.143,0.047,Theil-Sen,At the end
12,Outlier=0,0.001,0.017,Theil-Sen,At the end
12,Outlier=50,0.111,0.032,Theil-Sen,At the end
12,Outlier=100,0.125,0.037,Theil-Sen,At the end
12,Outlier=150,0.125,0.037,Theil-Sen,At the end
12,Outlier=200,0.125,0.037,Theil-Sen,At the end
5,Outlier=0,-0.002,0.089,OLS,In the middle
5,Outlier=50,-0.502,0.341,OLS,In the middle
5,Outlier=100,-1.002,1.093,OLS,In the middle
5,Outlier=150,-1.502,2.345,OLS,In the middle
5,Outlier=200,-2.002,4.097,OLS,In the middle
6,Outlier=0,-0.001,0.064,OLS,In the middle
6,Outlier=50,-0.144,0.084,OLS,In the middle
6,Outlier=100,-0.287,0.146,OLS,In the middle
6,Outlier=150,-0.429,0.248,OLS,In the middle
6,Outlier=200,-0.572,0.391,OLS,In the middle
7,Outlier=0,0.002,0.046,OLS,In the middle
7,Outlier=50,0.002,0.046,OLS,In the middle
7,Outlier=100,0.002,0.046,OLS,In the middle
7,Outlier=150,0.002,0.046,OLS,In the middle
7,Outlier=200,0.002,0.046,OLS,In the middle
8,Outlier=0,0.003,0.037,OLS,In the middle
8,Outlier=50,-0.056,0.04,OLS,In the middle
8,Outlier=100,-0.116,0.05,OLS,In the middle
8,Outlier=150,-0.175,0.068,OLS,In the middle
8,Outlier=200,-0.235,0.092,OLS,In the middle
9,Outlier=0,0.001,0.029,OLS,In the middle
9,Outlier=50,-0.083,0.036,OLS,In the middle
9,Outlier=100,-0.166,0.057,OLS,In the middle
9,Outlier=150,-0.249,0.092,OLS,In the middle
9,Outlier=200,-0.333,0.14,OLS,In the middle
10,Outlier=0,0.001,0.025,OLS,In the middle
10,Outlier=50,-0.029,0.026,OLS,In the middle
10,Outlier=100,-0.06,0.028,OLS,In the middle
10,Outlier=150,-0.09,0.033,OLS,In the middle
10,Outlier=200,-0.12,0.039,OLS,In the middle
11,Outlier=0,0.002,0.021,OLS,In the middle
11,Outlier=50,0.002,0.021,OLS,In the middle
11,Outlier=100,0.002,0.021,OLS,In the middle
11,Outlier=150,0.002,0.021,OLS,In the middle
11,Outlier=200,0.002,0.021,OLS,In the middle
12,Outlier=0,0.001,0.017,OLS,In the middle
12,Outlier=50,-0.016,0.018,OLS,In the middle
12,Outlier=100,-0.034,0.019,OLS,In the middle
12,Outlier=150,-0.051,0.02,OLS,In the middle
12,Outlier=200,-0.069,0.022,OLS,In the middle
5,Outlier=0,-0.001,0.092,Theil-Sen,In the middle
5,Outlier=50,-0.287,0.241,Theil-Sen,In the middle
5,Outlier=100,-0.289,0.244,Theil-Sen,In the middle
5,Outlier=150,-0.289,0.244,Theil-Sen,In the middle
5,Outlier=200,-0.289,0.244,Theil-Sen,In the middle
6,Outlier=0,-0.001,0.066,Theil-Sen,In the middle
6,Outlier=50,-0.064,0.075,Theil-Sen,In the middle
6,Outlier=100,-0.064,0.075,Theil-Sen,In the middle
6,Outlier=150,-0.064,0.075,Theil-Sen,In the middle
6,Outlier=200,-0.064,0.075,Theil-Sen,In the middle
7,Outlier=0,0,0.048,Theil-Sen,In the middle
7,Outlier=50,0.001,0.05,Theil-Sen,In the middle
7,Outlier=100,0,0.05,Theil-Sen,In the middle
7,Outlier=150,0,0.05,Theil-Sen,In the middle
7,Outlier=200,0,0.05,Theil-Sen,In the middle
8,Outlier=0,0.002,0.037,Theil-Sen,In the middle
8,Outlier=50,-0.026,0.038,Theil-Sen,In the middle
8,Outlier=100,-0.027,0.038,Theil-Sen,In the middle
8,Outlier=150,-0.027,0.038,Theil-Sen,In the middle
8,Outlier=200,-0.027,0.038,Theil-Sen,In the middle
9,Outlier=0,0,0.029,Theil-Sen,In the middle
9,Outlier=50,-0.042,0.032,Theil-Sen,In the middle
9,Outlier=100,-0.044,0.032,Theil-Sen,In the middle
9,Outlier=150,-0.044,0.032,Theil-Sen,In the middle
9,Outlier=200,-0.044,0.032,Theil-Sen,In the middle
10,Outlier=0,0.001,0.024,Theil-Sen,In the middle
10,Outlier=50,-0.014,0.025,Theil-Sen,In the middle
10,Outlier=100,-0.015,0.025,Theil-Sen,In the middle
10,Outlier=150,-0.015,0.025,Theil-Sen,In the middle
10,Outlier=200,-0.015,0.025,Theil-Sen,In the middle
11,Outlier=0,0.001,0.021,Theil-Sen,In the middle
11,Outlier=50,0.003,0.021,Theil-Sen,In the middle
11,Outlier=100,0.002,0.021,Theil-Sen,In the middle
11,Outlier=150,0.002,0.021,Theil-Sen,In the middle
11,Outlier=200,0.002,0.021,Theil-Sen,In the middle
12,Outlier=0,0.001,0.017,Theil-Sen,In the middle
12,Outlier=50,-0.006,0.017,Theil-Sen,In the middle
12,Outlier=100,-0.008,0.017,Theil-Sen,In the middle
12,Outlier=150,-0.008,0.017,Theil-Sen,In the middle
12,Outlier=200,-0.008,0.017,Theil-Sen,In the middle
